country,GDP 2021
Albania,18260043499.81
Algeria,167983141738.31
Andorra,3329910723.76
Angola,72546985708.57
Antigua and Barbuda,1471125925.93
Argentina,491492700657.01
Armenia,13861183873.59
Aruba,2496648045.69
Australia,1542659899992.54
Austria,477082467454.3
Azerbaijan,54622176470.59
Bahamas,11208600000
Bahrain,38868663031.91
Bangladesh,416264942893.33
Barbados,4900800000
Belarus,68218816484.12
Belgium,599879025377.51
Belize,1789923264.03
Benin,17785640079.12
Bermuda,7080900000
Bhutan,2315436304.3
Bolivia,40408208523.88
Botswana,17613846472.99
Brazil,1608981220812.2
Brunei Darussalam,14006569575.68
Bulgaria,80271119426.11
Burkina Faso,19737615114.37
Burundi,2902029385.83
Cabo Verde,1936174043.45
Cambodia,26961061119.8
Cameroon,45238613479.83
Canada,1990761609665.23
Central African Republic,2516498299.01
Chad,11779980801.78
Chile,317058508651.76
China,17734062645371.4
Colombia,314322453228.3
Congo,12523961677.3
Costa Rica,64282438666.74
Côte d'Ivoire,69764827467.44
Croatia,67837788543.59
Cuba,107352000001
Cyprus,27719337670.02
Czechia,282340849856.61
Democratic Republic of the Congo,53958573693.05
Denmark,397104343478.3
Djibouti,3371102123.51
Dominica,545618518.52
Dominican Republic,94243453937.45
Ecuador,106165866000
Egypt,404142766093.05
El Salvador,28736940000
Equatorial Guinea,12269392788.74
Estonia,36262924353.6
Eswatini,4941373182.08
Ethiopia,111271112329.98
Fiji,4592118709.55
Finland,299155237589.14
France,2937472757953.44
Gabon,18269350433.8
Gambia,2078070683.55
Georgia,18700241392.16
Germany,4223116205968.92
Ghana,77594279054.88
Greece,216240589485.26
Grenada,1122083185.19
Guatemala,85986321551.24
Guinea,15850520383.99
Guinea-Bissau,1638517533.17
Guyana,7409179920.86
Haiti,20944392615.08
Honduras,28488668301.64
Hong Kong (China),368139247671.49
Hungary,182280517581.21
Iceland,25458933915.87
India,3173397590816.91
Indonesia,1186092991320.04
Iran,231547571241.47
Ireland,498559576714.72
Isle of Man,7315388054.08
Israel,481591266133.41
Italy,2099880198258.88
Jamaica,13638230995.68
Japan,4937421880461.55
Jordan,45243661971.83
Kazakhstan,190814274226.21
Kenya,110347079517.36
Kiribati,180911844.64
Kuwait,105960225689.15
Kyrgyz Republic,8543423502.61
Lao People's Democratic Republic,18827148530.02
Latvia,38872546228.57
Lebanon,18076624840.18
Lesotho,2518468891.04
Liberia,3486741370
Libya,41879579677.17
Liechtenstein,6427248945.45
Lithuania,65503849704.6
Luxembourg,86710803337.1
Madagascar,14637400395.69
Malawi,12626718073.74
Malaysia,372701358820.26
Mali,19143741503.15
Malta,17189730469.56
Marshall Islands,248665600
Mauritania,8227580740.5
Mauritius,11156657769.7
Mexico,1293037866360.17
Micronesia,404178049.75
Moldova,13679221333.21
Monaco,6816219304.26
Morocco,132725261467.43
Mozambique,16095828896.63
Myanmar,65067808984.68
Namibia,12236250784.13
Nepal,36288830373.41
Netherlands,1018007056949.6
New Zealand,249991512236.53
Nicaragua,14013022092.06
Niger,14950949875.27
Nigeria,440776971536.02
North Macedonia,13879269151.57
Norway,482437019790.45
Oman,85868626527.96
Pakistan,346343170486.07
Palau,257700001
Panama,63605065800
Papua New Guinea,26594277245.78
Paraguay,38986810989
Peru,223249497500.39
Philippines,394086419343.06
Poland,674048266397.37
Portugal,249886464354.75
Qatar,179570783550.55
Romania,284087563695.8
Russian Federation,1775799919352.98
Rwanda,11070356519.48
Saint Lucia,1764901133.33
Saint Vincent and the Grenadines,889775243.38
Samoa,788389971.6
San Marino,1544713785.68
Sao Tome and Principe,547092915.04
Saudi Arabia,833541236569.32
Senegal,27625388352.17
Serbia,63068134601.13
Seychelles,1320053793.04
Sierra Leone,4200380124.33
Singapore,396986899888.35
Slovenia,61526331889.5
Solomon Islands,1645213881.62
South Africa,419946428126.01
South Korea,1798533915091.14
Spain,1425276586282.92
Sri Lanka,84518830392.62
Sudan,34326058557.44
Suriname,2862131979.7
Sweden,627437898887.29
Switzerland,812866928867.47
Syrian Arab Republic,21445775366.86
Tajikistan,8746270636.4
Tanzania,67775101794.35
Thailand,505981655622.31
Togo,8413200567.62
Trinidad and Tobago,21391802311.01
Tunisia,46840042941.49
Türkiye,815271751724.42
Turkmenistan,45231428573.43
Uganda,40434701516.95
Ukraine,200085537744.35
United Kingdom,3186859739185.02
United States of America,22996100000000
Uruguay,59319547636.09
Uzbekistan,69238903106.17
Vanuatu,983469256.85
Vietnam,362637524070.97
Yemen,21061691629.54
Zambia,21203059080.35
Zimbabwe,26217726717.34
